nome,emozione,prob,corrispondenza
004_o_m_a_a.jpg,Sadness,"{Anger: 0.05122945085167885, Disgust: 0.010561622679233551, Fear: 1.1411767673052964e-06, Happiness: 2.4160647171811434e-06, Neutral: 0.001273790723644197, Sadness: 0.9369312524795532, Surprise: 2.160212915214288e-07}",0
004_o_m_a_b.jpg,Sadness,"{Anger: 0.18869775533676147, Disgust: 0.0025889810640364885, Fear: 2.1396552085661824e-07, Happiness: 2.3141325300457538e-07, Neutral: 4.9229372962145135e-05, Sadness: 0.8086636066436768, Surprise: 7.3669252920183226e-09}",0
004_o_m_d_a.jpg,Disgust,"{Anger: 0.08508944511413574, Disgust: 0.48923584818840027, Fear: 3.4953201975440606e-05, Happiness: 9.804784895095509e-07, Neutral: 5.642322776111541e-06, Sadness: 0.42563310265541077, Surprise: 7.682096025973806e-08}",1
004_o_m_d_b.jpg,Anger,"{Anger: 0.7941722273826599, Disgust: 0.20300737023353577, Fear: 6.582442324543081e-07, Happiness: 1.7338149405077274e-07, Neutral: 1.663365907234038e-07, Sadness: 0.002819394925609231, Surprise: 1.8605252893877378e-09}",0
004_o_m_f_a.jpg,Disgust,"{Anger: 0.24613596498966217, Disgust: 0.3136301636695862, Fear: 0.0008170342189259827, Happiness: 0.0003085665521211922, Neutral: 0.12320248037576675, Sadness: 0.24707843363285065, Surprise: 0.068827323615551}",0
004_o_m_f_b.jpg,Sadness,"{Anger: 0.13798318803310394, Disgust: 0.03829369321465492, Fear: 0.006580543704330921, Happiness: 0.0041510374285280704, Neutral: 0.0022875985596328974, Sadness: 0.7898769974708557, Surprise: 0.020826905965805054}",0
004_o_m_h_a.jpg,Happiness,"{Anger: 4.452479629435402e-07, Disgust: 1.2260402471042653e-08, Fear: 1.0786597925971364e-07, Happiness: 0.9999992847442627, Neutral: 6.713474220987337e-08, Sadness: 2.391563214132475e-08, Surprise: 3.2280456085942433e-10}",1
004_o_m_h_b.jpg,Happiness,"{Anger: 1.2099430932721589e-06, Disgust: 3.217286348444759e-07, Fear: 2.0206145734391612e-07, Happiness: 0.9999979734420776, Neutral: 2.9500372988877643e-07, Sadness: 1.613920659337964e-07, Surprise: 4.589461699566755e-09}",1
004_o_m_n_a.jpg,Neutral,"{Anger: 0.0004488738486543298, Disgust: 0.0030063281301409006, Fear: 8.44988505832589e-08, Happiness: 6.365980516420677e-05, Neutral: 0.9367985725402832, Sadness: 0.05968024954199791, Surprise: 2.1521195776585955e-06}",1
004_o_m_n_b.jpg,Sadness,"{Anger: 0.029500169679522514, Disgust: 0.0013267899630591273, Fear: 9.054744509739976e-07, Happiness: 0.0028339680284261703, Neutral: 0.23960532248020172, Sadness: 0.726728081703186, Surprise: 4.767587142850971e-06}",0
004_o_m_s_a.jpg,Sadness,"{Anger: 2.8405691409716383e-05, Disgust: 0.0023527282755821943, Fear: 3.238983481423929e-05, Happiness: 0.0004397992743179202, Neutral: 1.0026986529965143e-07, Sadness: 0.9971465468406677, Surprise: 5.0605475365728125e-08}",1
004_o_m_s_b.jpg,Sadness,"{Anger: 4.02659825340379e-05, Disgust: 0.001030583051033318, Fear: 0.000353339099092409, Happiness: 0.18454162776470184, Neutral: 5.940124765402288e-07, Sadness: 0.8140332102775574, Surprise: 4.553113797101105e-07}",1
005_o_f_a_a.jpg,Sadness,"{Anger: 4.493193955568131e-06, Disgust: 5.603208592219744e-06, Fear: 4.15436204548314e-07, Happiness: 4.037442806748004e-07, Neutral: 3.35449286126277e-08, Sadness: 0.9999890327453613, Surprise: 3.1434130853824627e-09}",0
005_o_f_a_b.jpg,Sadness,"{Anger: 0.0002060245315078646, Disgust: 0.0008477324736304581, Fear: 3.027594459581451e-07, Happiness: 0.00010236196249024943, Neutral: 0.001408375333994627, Sadness: 0.9974351525306702, Surprise: 1.3053593761469529e-08}",0
005_o_f_d_a.jpg,Sadness,"{Anger: 2.4755891558925214e-07, Disgust: 3.552159614628181e-05, Fear: 4.1732664612936787e-07, Happiness: 0.0004298767598811537, Neutral: 4.2868169458643024e-08, Sadness: 0.999534010887146, Surprise: 8.089852121528907e-10}",0
005_o_f_d_b.jpg,Sadness,"{Anger: 5.258140731712047e-07, Disgust: 5.942459210928064e-06, Fear: 6.131224381533684e-07, Happiness: 2.1456179055689972e-09, Neutral: 3.0463911948608313e-10, Sadness: 0.9999929666519165, Surprise: 4.499447689432223e-11}",0
005_o_f_f_a.jpg,Surprise,"{Anger: 0.0036404423881322145, Disgust: 8.563941082684323e-05, Fear: 0.0015106917126104236, Happiness: 2.565562226664042e-06, Neutral: 9.474487683291954e-08, Sadness: 4.732602292278898e-07, Surprise: 0.9947600960731506}",2
005_o_f_f_b.jpg,Surprise,"{Anger: 0.003302000928670168, Disgust: 0.0027091954834759235, Fear: 0.18804477155208588, Happiness: 8.252381121565122e-06, Neutral: 1.555358508653626e-08, Sadness: 0.000522303453180939, Surprise: 0.8054134845733643}",2
005_o_f_h_a.jpg,Happiness,"{Anger: 8.616377833448041e-09, Disgust: 1.286945305878362e-08, Fear: 3.5639906581508285e-09, Happiness: 1.0, Neutral: 2.0184084958962956e-10, Sadness: 5.449445783511919e-09, Surprise: 4.4548267852384527e-11}",1
005_o_f_h_b.jpg,Happiness,"{Anger: 4.0284828806136375e-09, Disgust: 1.036583152647097e-09, Fear: 1.1341731109837383e-08, Happiness: 1.0, Neutral: 1.7135279861690833e-09, Sadness: 8.117822858366708e-09, Surprise: 2.250429530226139e-11}",1
005_o_f_n_a.jpg,Neutral,"{Anger: 4.3743821152020246e-05, Disgust: 0.0016756084514781833, Fear: 4.6133973086170954e-08, Happiness: 0.00010074861347675323, Neutral: 0.9903685450553894, Sadness: 0.00781111279502511, Surprise: 1.2831146989356057e-07}",1
005_o_f_n_b.jpg,Neutral,"{Anger: 0.00020608401973731816, Disgust: 0.01506544928997755, Fear: 1.2074430060238228e-06, Happiness: 0.002290768316015601, Neutral: 0.9052693843841553, Sadness: 0.07716649770736694, Surprise: 6.777754606446251e-07}",1
